Date,^GSPC,BTC-USD,2% or less,Crypto 5day retur,Consecutive SP down,,
1/3/11,,,,,,,
1/4/11,-0.13%,1%,0,0%,0,,
1/5/11,0.50%,0%,0,0%,0,,
1/6/11,-0.21%,0%,0,0%,0,,
1/7/11,-0.18%,7%,0,0%,0,,
1/10/11,-0.14%,2%,0,0%,0,,
1/11/11,0.37%,0%,0,0%,0,,
1/12/11,0.90%,-2%,0,0%,0,,
1/13/11,-0.17%,0%,0,0%,0,,
1/14/11,0.74%,26%,0,0%,0,,
1/18/11,0.14%,-22%,0,0%,0,,
1/19/11,-1.01%,0%,0,0%,0,,
1/20/11,-0.13%,25%,0,0%,0,,
1/21/11,0.24%,8%,0,0%,0,,
1/24/11,0.58%,0%,0,0%,0,,
1/25/11,0.03%,-2%,0,0%,0,,
1/26/11,0.42%,2%,0,0%,0,,
1/27/11,0.22%,1%,0,0%,0,,
1/28/11,-1.79%,6%,0,0%,0,,
1/31/11,0.77%,17%,0,0%,0,,
2/1/11,1.67%,35%,0,0%,0,,
2/2/11,-0.27%,2%,0,0%,0,,
2/3/11,0.24%,-4%,0,0%,0,,
2/4/11,0.29%,18%,0,0%,0,,
2/7/11,0.62%,10%,0,0%,0,,
2/8/11,0.42%,3%,0,0%,0,,
2/9/11,-0.28%,19%,0,0%,0,,
2/10/11,0.07%,-10%,0,0%,0,,
2/11/11,0.55%,9%,0,0%,0,,
2/14/11,0.24%,0%,0,0%,0,,
2/15/11,-0.32%,-2%,0,0%,0,,
2/16/11,0.63%,0%,0,0%,0,,
2/17/11,0.31%,0%,0,0%,0,,
2/18/11,0.19%,-14%,0,0%,0,,
2/22/11,-2.05%,-3%,1,4%,0,,
2/23/11,-0.61%,3%,0,0%,0,,
2/24/11,-0.10%,11%,0,0%,0,,
2/25/11,1.06%,-9%,0,0%,0,,
2/28/11,0.56%,-6%,0,0%,0,,
3/1/11,-1.57%,7%,0,0%,0,,
3/2/11,0.16%,2%,0,0%,0,,
3/3/11,1.72%,0%,0,0%,0,,
3/4/11,-0.74%,-4%,0,0%,0,,
3/7/11,-0.83%,-2%,0,0%,0,,
3/8/11,0.89%,-2%,0,0%,0,,
3/9/11,-0.14%,-1%,0,0%,0,,
3/10/11,-1.89%,8%,0,0%,0,,
3/11/11,0.71%,-6%,0,0%,0,,
3/14/11,-0.60%,2%,0,0%,0,,
3/15/11,-1.12%,-3%,0,0%,0,,
3/16/11,-1.95%,-1%,0,0%,0,,
3/17/11,1.34%,-4%,0,0%,0,,
3/18/11,0.43%,-1%,0,0%,0,,
3/21/11,1.50%,-7%,0,0%,0,,
3/22/11,-0.36%,7%,0,0%,0,,
3/23/11,0.29%,5%,0,0%,0,,
3/24/11,0.93%,2%,0,0%,0,,
3/25/11,0.32%,2%,0,0%,0,,
3/28/11,-0.27%,-10%,0,0%,0,,
3/29/11,0.71%,0%,0,0%,0,,
3/30/11,0.67%,-1%,0,0%,0,,
3/31/11,-0.18%,-1%,0,0%,0,,
4/1/11,0.50%,1%,0,0%,0,,
4/4/11,0.03%,-9%,0,0%,0,,
4/5/11,-0.02%,4%,0,0%,0,,
4/6/11,0.22%,2%,0,0%,0,,
4/7/11,-0.15%,-1%,0,0%,0,,
4/8/11,-0.40%,-3%,0,0%,0,,
4/11/11,-0.28%,18%,0,0%,0,,
4/12/11,-0.78%,7%,0,0%,0,,
4/13/11,0.02%,8%,0,0%,0,,
4/14/11,0.01%,-1%,0,0%,0,,
4/15/11,0.39%,6%,0,0%,0,,
4/18/11,-1.10%,14%,0,0%,0,,
4/19/11,0.57%,-5%,0,0%,0,,
4/20/11,1.35%,6%,0,0%,0,,
